Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,21,POR,NBA,C,63,22,1392,241,479,.503,0,2,.000,241,477,.505,.503,83,115,.722,144,168,312,24,22,73,43,186,565
2007-08,22,POR,NBA,PF,76,76,2649,561,1160,.484,1,7,.143,560,1153,.486,.484,227,298,.762,220,358,578,122,55,94,126,240,1350
2008-09,23,POR,NBA,PF,81,81,3004,601,1243,.484,7,28,.250,594,1215,.489,.486,261,334,.781,234,371,605,157,77,77,121,207,1470
2009-10,24,POR,NBA,PF,78,78,2922,579,1169,.495,5,16,.313,574,1153,.498,.497,230,304,.757,192,435,627,160,67,48,104,231,1393
2010-11,25,POR,NBA,PF,81,81,3211,707,1415,.500,4,23,.174,703,1392,.505,.501,351,444,.791,278,431,709,170,82,94,153,220,1769
2011-12,26,POR,NBA,PF,55,55,1994,483,943,.512,2,11,.182,481,932,.516,.513,223,274,.814,150,292,442,134,51,45,111,153,1191
2012-13,27,POR,NBA,PF,74,74,2790,638,1318,.484,2,14,.143,636,1304,.488,.485,282,348,.810,175,495,670,192,62,91,143,187,1560
2013-14,28,POR,NBA,PF,69,69,2498,652,1423,.458,3,15,.200,649,1408,.461,.459,296,360,.822,166,599,765,178,63,68,123,147,1603
2014-15,29,POR,NBA,PF,71,71,2512,659,1415,.466,37,105,.352,622,1310,.475,.479,306,362,.845,177,549,726,124,48,68,122,125,1661
2015-16,30,SAS,NBA,PF,74,74,2261,536,1045,.513,0,16,.000,536,1029,.521,.513,259,302,.858,176,456,632,110,38,81,99,151,1331
Career,,,NBA,,722,681,25233,5657,11610,.487,61,237,.257,5596,11373,.492,.490,2518,3141,.802,1912,4154,6066,1371,565,739,1145,1847,13893